eval,tag,score,snr_gain_vs_edge_min,snr_gain_vs_edge_mean,snr_ratio_vs_direct_min,snr_ratio_vs_direct_mean,snr_ratio_vs_direct_median,snr_ratio_vs_direct_max,rms_log_ratio_vs_direct,gamma_vector
71,coord_w0.08_i17,-0.0019257145501078118,1.003056108905076,1.1587067141687954,0.916099288584167,1.0004138192502392,1.0029824203509552,1.07688081681406,0.03799388399652368,"0.15,0.15,0.31,0.23,0.23,0.07,0.15,0.07,0.23,0.07,0.23,0.15,0.31,0,0.23,0.23,0.15,0.15"
72,coord_w0.08_i17,-0.0019335454973067817,1.0031338346168552,1.158724857306823,0.9160992885841674,1.0003864126813657,1.003854182487419,1.0768808168140596,0.03807263549669914,"0.15,0.15,0.31,0.23,0.23,0.07,0.15,0.07,0.23,0.07,0.23,0.15,0.31,0,0.23,0.23,0.15,0.23"
73,coord_w0.035_i0,-0.0019363666434471767,1.0030561089050738,1.1563874383470536,0.9160992885841672,0.9986264612667725,0.999798273523536,1.076880816814058,0.03811943891548399,"0.115,0.15,0.31,0.23,0.23,0.07,0.15,0.07,0.23,0.07,0.23,0.15,0.31,0,0.23,0.23,0.15,0.15"
74,coord_w0.035_i0,-0.0019482469045651691,1.0030561089050738,1.1604415700177462,0.9160992885841683,1.0017500974867857,1.0058357917130047,1.0768808168140585,0.03819932681882711,"0.185,0.15,0.31,0.23,0.23,0.07,0.15,0.07,0.23,0.07,0.23,0.15,0.31,0,0.23,0.23,0.15,0.15"
75,coord_w0.035_i1,-0.001945258631337032,1.0030271319879296,1.1561376319092693,0.9160992885841664,0.998518146304216,1.0023292237006247,1.07688081681406,0.03821743352624552,"0.15,0.115,0.31,0.23,0.23,0.07,0.15,0.07,0.23,0.07,0.23,0.15,0.31,0,0.23,0.23,0.15,0.15"
76,coord_w0.035_i1,-0.0019747450517728694,1.0030771615844771,1.1606831886475304,0.9160992885841672,1.0018719283517359,1.0029824203509548,1.0768808168140611,0.038437240708123425,"0.15,0.185,0.31,0.23,0.23,0.07,0.15,0.07,0.23,0.07,0.23,0.15,0.31,0,0.23,0.23,0.15,0.15"
77,coord_w0.035_i2,-0.0019254295132790946,1.003052933033443,1.1578578255357095,0.9160992885841676,0.9997087471652104,1.002329223700623,1.0768808168140596,0.03799587819537772,"0.15,0.15,0.275,0.23,0.23,0.07,0.15,0.07,0.23,0.07,0.23,0.15,0.31,0,0.23,0.23,0.15,0.15"
78,coord_w0.035_i2,-0.0019257145501078118,1.003056108905076,1.1587067141687954,0.916099288584167,1.0004138192502392,1.0029824203509552,1.07688081681406,0.03799388399652368,"0.15,0.15,0.31,0.23,0.23,0.07,0.15,0.07,0.23,0.07,0.23,0.15,0.31,0,0.23,0.23,0.15,0.15"
79,coord_w0.035_i3,-0.0019339106152713404,1.0030529330334446,1.156424483089527,0.9160992885841672,0.9986353400303974,0.9992813973174979,1.0768808168140596,0.03809518395205507,"0.15,0.15,0.275,0.195,0.23,0.07,0.15,0.07,0.23,0.07,0.23,0.15,0.31,0,0.23,0.23,0.15,0.15"
80,coord_w0.035_i3,-0.0019396461130450334,1.0030529330334417,1.1590139412109401,0.9160992885841674,1.0005740914342778,1.0036530465405367,1.076880816814058,0.038119517132331936,"0.15,0.15,0.275,0.265,0.23,0.07,0.15,0.07,0.23,0.07,0.23,0.15,0.31,0,0.23,0.23,0.15,0.15"
